actual,predicted,residuals,abs_error,datetime
0.6113983159287697,0.6797662966222309,-0.06836798069346117,0.06836798069346117,2021-09-03 19:00:00
0.5889763796018157,0.6581589320004253,-0.0691825523986096,0.0691825523986096,2021-09-03 20:00:00
0.5758531727214914,0.6444817252834141,-0.06862855256192268,0.06862855256192268,2021-09-03 21:00:00
0.5863517382257506,0.6510845415383237,-0.06473280331257314,0.06473280331257314,2021-09-03 22:00:00
0.609973510610335,0.6697916968646334,-0.059818186254298356,0.059818186254298356,2021-09-03 23:00:00
0.6206220556217977,0.7144862028387784,-0.09386414721698066,0.09386414721698066,2021-09-04 00:00:00
0.5852268919217231,0.6750017022753814,-0.08977481035365831,0.08977481035365831,2021-09-04 01:00:00
0.2569217506528116,0.3544245699710514,-0.09750281931823979,0.09750281931823979,2021-09-04 02:00:00
0.1994795993937925,0.29098310184765885,-0.09150350245386635,0.09150350245386635,2021-09-04 03:00:00
0.1574853373767548,0.24596088172751207,-0.08847554435075727,0.08847554435075727,2021-09-04 04:00:00
0.1223151429374854,0.20977326999193752,-0.08745812705445212,0.08745812705445212,2021-09-04 05:00:00
0.0533995593773831,0.13809431867022778,-0.08469475929284467,0.08469475929284467,2021-09-04 06:00:00
0.0107303895779284,0.09551234190801455,-0.08478195233008615,0.08478195233008615,2021-09-04 07:00:00
0.0003068138272709,0.08260136154686609,-0.0822945477195952,0.0822945477195952,2021-09-04 08:00:00
0.0117802461283542,0.08912996961895359,-0.07734972349059939,0.07734972349059939,2021-09-04 09:00:00
0.048150276625253,0.12104775176545074,-0.07289747514019773,0.07289747514019773,2021-09-04 10:00:00
0.0968936164664574,0.16529281129010326,-0.06839919482364586,0.06839919482364586,2021-09-04 11:00:00
0.2449233900765149,0.30137824417518927,-0.05645485409867437,0.05645485409867437,2021-09-04 12:00:00
0.5841770353712972,0.6228599961315877,-0.03868296076029054,0.03868296076029054,2021-09-04 13:00:00
0.5639298018987974,0.604847649666618,-0.04091784776782059,0.04091784776782059,2021-09-04 14:00:00
0.5509565745256768,0.593194147718942,-0.042237573193265154,0.042237573193265154,2021-09-04 15:00:00
0.5403830192678148,0.5810778018032481,-0.04069478253543324,0.04069478253543324,2021-09-04 16:00:00
0.5267348841122782,0.5658896980129606,-0.03915481390068243,0.03915481390068243,2021-09-04 17:00:00
0.6274461231995662,0.6522916216234529,-0.024845498423886725,0.024845498423886725,2021-09-04 18:00:00
0.6110983569143625,0.638412410905133,-0.02731405399077047,0.02731405399077047,2021-09-04 19:00:00
0.586876666500964,0.6169799298623391,-0.030103263361375032,0.030103263361375032,2021-09-04 20:00:00
