actual,predicted,residuals,abs_error,datetime,zone
1.0949322471535168,1.0664098,0.028522420874830257,0.028522420874830257,2024-01-01 07:00:00,Western India
1.090807810705415,1.0666983,0.02410949794601569,0.02410949794601569,2024-01-01 08:00:00,Western India
1.0722103518121555,1.0477102,0.024500171529562742,0.024500171529562742,2024-01-01 09:00:00,Western India
1.0593121141926367,1.0527785,0.006533631755502922,0.006533631755502922,2024-01-01 10:00:00,Western India
1.0659112125095995,1.0403173,0.025593915527788003,0.025593915527788003,2024-01-01 11:00:00,Western India
1.1914440600391014,1.1588829,0.03256120367008286,0.03256120367008286,2024-01-01 12:00:00,Western India
1.2178404533069536,1.191423,0.026417394797126903,0.026417394797126903,2024-01-01 13:00:00,Western India
1.2017176562825551,1.1768323,0.024885337976585875,0.024885337976585875,2024-01-01 14:00:00,Western India
1.187319623591,1.1655549,0.02176474249511373,0.02176474249511373,2024-01-01 15:00:00,Western India
1.1854448797509536,1.164949,0.020495820264564424,0.020495820264564424,2024-01-01 16:00:00,Western India
1.1877695621126103,1.1692197,0.018549829828064412,0.018549829828064412,2024-01-01 17:00:00,Western India
1.187619582605407,1.182249,0.0053706326008293725,0.0053706326008293725,2024-01-01 18:00:00,Western India
1.265533936597732,1.3478658,-0.08233188333329822,0.08233188333329822,2024-01-01 19:00:00,Western India
1.2618594386712412,1.3472538,-0.08539436076723539,0.08539436076723539,2024-01-01 20:00:00,Western India
1.26058461286001,1.3468716,-0.08628700159616676,0.08628700159616676,2024-01-01 21:00:00,Western India
1.2581849407447503,1.3385084,-0.08032342679370186,0.08032342679370186,2024-01-01 22:00:00,Western India
1.2568351251799172,1.3387069,-0.08187172582563695,0.08187172582563695,2024-01-01 23:00:00,Western India
1.2558602583830931,1.3400676,-0.08420736666268325,0.08420736666268325,2024-01-02 00:00:00,Western India
1.2889307397215102,1.3751217,-0.08619097296312117,0.08619097296312117,2024-01-02 01:00:00,Western India
1.2831565286941675,1.3613094,-0.07815288044737301,0.07815288044737301,2024-01-02 02:00:00,Western India
1.2740827685083431,1.3614653,-0.08738256638392983,0.08738256638392983,2024-01-02 03:00:00,Western India
1.297929510153733,1.374947,-0.07701744171241698,0.07701744171241698,2024-01-02 04:00:00,Western India
1.2927552171552046,1.3765317,-0.0837765030062334,0.0837765030062334,2024-01-02 05:00:00,Western India
1.217015566017333,1.1788306,0.03818494239062398,0.03818494239062398,2024-01-02 06:00:00,Western India
1.106105720440193,1.0776154,0.028490340153022542,0.028490340153022542,2024-01-02 07:00:00,Western India
1.1046809151217574,1.0780005,0.026680369620048383,0.026680369620048383,2024-01-02 08:00:00,Western India
1.0977818577903873,1.068067,0.02971490317765535,0.02971490317765535,2024-01-02 09:00:00,Western India
1.0869083435181182,1.0669417,0.01996660538945605,0.01996660538945605,2024-01-02 10:00:00,Western India
1.0851835791852764,1.0667248,0.018458801963596727,0.018458801963596727,2024-01-02 11:00:00,Western India
1.197893178848861,1.166885,0.03100816050016708,0.03100816050016708,2024-01-02 12:00:00,Western India
1.2277391007823986,1.1946601,0.03307903322410999,0.03307903322410999,2024-01-02 13:00:00,Western India
1.2143159348876662,1.1851571,0.02915887426449726,0.02915887426449726,2024-01-02 14:00:00,Western India
1.1976682095880555,1.1730807,0.02458752683353893,0.02458752683353893,2024-01-02 15:00:00,Western India
1.185369889997351,1.1624168,0.02295307423959958,0.02295307423959958,2024-01-02 16:00:00,Western India
1.170821877798592,1.1536047,0.01721713193372376,0.01721713193372376,2024-01-02 17:00:00,Western India
1.1803455765060271,1.1631294,0.01721612761534108,0.01721612761534108,2024-01-02 18:00:00,Western India
