actual,predicted,residuals,abs_error,percentage_error
0.6918623,0.74017256,-0.04831028,0.04831028,6.982644
0.83569264,0.77474105,0.06095159,0.06095159,7.293542
0.8123709,0.7794659,0.032904983,0.032904983,4.0504875
0.7698517,0.7997042,-0.02985251,0.02985251,3.877696
0.76205266,0.8034811,-0.041428447,0.041428447,5.436428
0.7436052,0.78494346,-0.041338265,0.041338265,5.5591683
0.7276324,0.7646407,-0.037008286,0.037008286,5.086124
0.71548414,0.7498471,-0.03436297,0.03436297,4.8027577
0.68278855,0.73530567,-0.052517116,0.052517116,7.6915636
0.694037,0.7311309,-0.037093878,0.037093878,5.344654
0.6923872,0.73996836,-0.047581136,0.047581136,6.8720417
0.7096349,0.7432717,-0.03363681,0.03363681,4.740016
0.77885044,0.7531698,0.025680661,0.025680661,3.297252
0.81896985,0.7505928,0.06837702,0.06837702,8.34915
0.67806417,0.56175125,0.11631292,0.11631292,17.153675
0.39865237,0.21751726,0.18113512,0.18113512,45.43686
0.35305858,0.24239627,0.11066231,0.11066231,31.343895
0.31518883,0.27489322,0.0402956,0.0402956,12.784592
0.33281136,0.17226177,0.16054958,0.16054958,48.240414
0.28489292,0.18752202,0.09737089,0.09737089,34.178066
0.2851929,0.25177035,0.03342256,0.03342256,11.719281
0.29014218,0.29765582,-0.0075136423,0.0075136423,2.5896416
0.31016445,0.3367328,-0.026568353,0.026568353,8.565892
0.38087982,0.5090078,-0.12812799,0.12812799,33.640007
0.69156235,0.6769712,0.014591157,0.014591157,2.109883
0.85369027,0.7432223,0.11046797,0.11046797,12.940052
0.8272188,0.76480734,0.062411427,0.062411427,7.5447307
0.7938484,0.7922547,0.001593709,0.001593709,0.20075734
0.77172637,0.8000299,-0.028303504,0.028303504,3.6675568
0.75237906,0.7796682,-0.027289152,0.027289152,3.6270485
0.72433287,0.7603631,-0.036030233,0.036030233,4.9742646
0.7196085,0.74270946,-0.023100972,0.023100972,3.2102141
0.7025858,0.7251711,-0.022585273,0.022585273,3.214593
0.6971116,0.70625395,-0.009142339,0.009142339,1.3114599
0.7187836,0.73458314,-0.015799522,0.015799522,2.1980915
0.72403294,0.7436663,-0.019633353,0.019633353,2.7116656
0.7814001,0.7526668,0.028733313,0.028733313,3.6771576
0.803597,0.7492365,0.05436045,0.05436045,6.764641
0.6539175,0.55429727,0.09962022,0.09962022,15.234372
0.3857541,0.20201042,0.18374369,0.18374369,47.63233
0.32193786,0.23779425,0.08414361,0.08414361,26.1366
0.28684264,0.26234412,0.024498522,0.024498522,8.540753
0.30813974,0.15081283,0.1573269,0.1573269,51.057
0.26584548,0.17485523,0.090990245,0.090990245,34.22674
0.26412076,0.23757651,0.026544243,0.026544243,10.05004
0.27634406,0.2753232,0.0010208488,0.0010208488,0.3694122
0.30611503,0.3187136,-0.012598574,0.012598574,4.115634
0.37390578,0.4924717,-0.11856592,0.11856592,31.710106
0.6860881,0.67022514,0.015862942,0.015862942,2.3120852
0.87033796,0.7438125,0.12652546,0.12652546,14.537509
0.8461162,0.7670405,0.079075694,0.079075694,9.345725
0.8202448,0.7997891,0.020455718,0.020455718,2.4938555
0.81589544,0.8146305,0.0012649298,0.0012649298,0.15503576
0.80892134,0.8035555,0.0053658485,0.0053658485,0.66333383
0.78574944,0.78975964,-0.0040102005,0.0040102005,0.5103663
0.7831998,0.7724484,0.010751367,0.010751367,1.3727489
0.77420104,0.7552522,0.018948853,0.018948853,2.4475365
0.78147507,0.7488702,0.032604873,0.032604873,4.172222
0.7820749,0.76877105,0.013303876,0.013303876,1.7011
0.8067466,0.7764877,0.030258894,0.030258894,3.750731
0.8688382,0.78919315,0.07964504,0.07964504,9.166843
0.88106143,0.7870568,0.09400463,0.09400463,10.669475
0.73385656,0.60535514,0.12850142,0.12850142,17.510426
0.44972038,0.28040904,0.16931134,0.16931134,37.648136
0.41867465,0.29352486,0.12514979,0.12514979,29.891895
0.3874789,0.31112242,0.07635647,0.07635647,19.705969
0.34615958,0.22678557,0.11937401,0.11937401,34.485252
0.3069399,0.2136249,0.093315005,0.093315005,30.401718
0.31976312,0.2636817,0.056081414,0.056081414,17.538424
0.32763708,0.32655132,0.0010857582,0.0010857582,0.3313905
0.3454097,0.37731206,-0.031902373,0.031902373,9.236096
0.39767748,0.5441516,-0.14647412,0.14647412,36.83239
0.694037,0.73555183,-0.041514814,0.041514814,5.9816427
0.88158643,0.76115406,0.12043238,0.12043238,13.660871
0.8641138,0.7829577,0.081156135,0.081156135,9.391834
0.84251666,0.8190311,0.023485541,0.023485541,2.7875462
0.8359177,0.8389263,-0.003008604,0.003008604,0.3599163
0.8304434,0.8299519,0.0004914999,0.0004914999,0.05918524
0.8428167,0.8144522,0.02836454,0.02836454,3.3654459
0.8488159,0.80125296,0.047562957,0.047562957,5.603448
