Hour,Month,Day,DayOfWeek,Quarter,WeekOfYear,Zone_encoded,Renewable_energy_percentage_RE%,Carbon-free_energy_percentage_CFE%,Carbon_Efficiency,Clean_Energy_Gap,Carbon_Intensity_MA_24h,RE_Percentage_MA_24h
0,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.8965225548215403,-0.9252150255280536,-0.7046323252625392,-0.307217824625801,0.7759318293230452,-0.6848923850948709
1,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.8957774613926399,-0.9273845079770692,-0.7044456875221103,-0.3233512718967288,0.774510636176166,-0.6831926188369769
2,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.653622097000019,-0.7032046549121266,-0.5950446083223873,-0.3838516991627094,0.7728455311619724,-0.6810169180268725
3,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.3362122962884604,-0.40743188102967,-0.4387908271804707,-0.452418850064154,0.7707543934195382,-0.678263296689084
4,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.2751146351186299,-0.3531948198042807,-0.4071562746740119,-0.4806523827882784,0.7690600189812682,-0.676019605228664
5,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.2125267870909986,-0.2931724720481833,-0.3735932329278256,-0.4846857446060111,0.7665623614599778,-0.6726880633631912
6,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.2035856659441944,-0.2902798287828292,-0.3692399425046792,-0.5169526391478667,0.7644972409833894,-0.6700364280008766
7,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.1283312296252567,-0.2092858173529144,-0.3269972223544494,-0.4725856591528145,0.7610141795181534,-0.66565103105551
8,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.0694688487421273,-0.1478171479641397,-0.2932018011907321,-0.4483854882464214,0.7558920303045705,-0.6591239286251966
9,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.0091162810011973,-0.0834558353100113,-0.2576768811204203,-0.4161185937045658,0.7494234875834181,-0.6508630646118313
10,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,0.0259031101571203,-0.0436819904113924,-0.2362513984012187,-0.3838516991627101,0.7415760297723863,-0.6408344436902563
11,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.0888412778935368,-0.1564950777602021,-0.3028875201414798,-0.391918422798174,0.7360766302040247,-0.6338654020328905
12,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.4017805180316933,-0.4566068165406899,-0.4712074765333329,-0.3717516137095136,0.7329643147771052,-0.63002393029005
13,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.8704442848100273,-0.9035202010378978,-0.6932521729367835,-0.3273846337144607,0.7313089662376036,-0.6281541874063664
14,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.9002480219660423,-0.938231920222147,-0.7066155542745068,-0.3596515282563171,0.7310422892626749,-0.6278482294799453
15,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.9412281605555626,-0.9866836949168282,-0.7247476858001763,-0.4080518700691019,0.7331789572203404,-0.630261897566155
16,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.968051523995976,-1.0185027708357233,-0.7364914215849712,-0.4403187646109575,0.7365156715651897,-0.63403537865868
17,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.97624755171388,-1.0271807006317857,-0.7400015066497277,-0.4443521264286901,0.7403954963345882,-0.6384207756040468
18,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.9330321328376584,-0.970050996141042,-0.720886533528295,-0.3596515282563171,0.7430525096091897,-0.6412423875921509
19,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.9270713854064556,-0.9628193879776568,-0.7182665533090744,-0.3515848046208532,0.7455371584975565,-0.6438940229544655
20,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.9203655445463522,-0.9548646189979332,-0.7152845134874661,-0.3435180809853893,0.7480673376011548,-0.6465796536419384
21,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.9166400774018504,-0.950525654099902,-0.7136230758369618,-0.3394847191676573,0.7504121436855954,-0.6490613123784635
22,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.903973489110544,-0.9353392769567928,-0.7079781853353418,-0.3233512718967288,0.7524154731557966,-0.6512370131885681
23,2,4,-0.0003420265883267,-1.350442535864218,-1.428895211084357,4,-0.8927970876770384,-0.9223223822626996,-0.7029926697012507,-0.3112511864435329,0.7534724245808213,-0.652426849569094
0,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.91589498397295,-0.947633010834548,-0.7132169237572565,-0.3273846337144614,0.7541976558663005,-0.6533107280231988
1,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.8957774613926399,-0.9252150255280536,-0.7043128014363151,-0.3112511864435329,0.7541033432776063,-0.6533107280231989
2,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.5761323803943803,-0.6157021961351652,-0.557136975659026,-0.3152845482612656,0.7511406271293052,-0.6497752142067792
3,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.1328017901986591,-0.1897604753117743,-0.3266581418744315,-0.3394847191676566,0.7438037581605156,-0.6404944904386776
4,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.1722917419303786,-0.243274375720825,-0.3503649117879815,-0.4241853173400297,0.7400865413026578,-0.6358031355668898
5,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.1253508559096552,-0.1984384051078367,-0.3243274102065471,-0.4282186791577623,0.7368831654452748,-0.6318256825234178
6,2,5,0.4993588189569071,-1.350442535864218,-1.428895211084357,4,-0.17527211564598,-0.2591839136802727,-0.3531728647499033,-0.4967858300592076,0.7357806838050178,-0.6305338601674183
